unit_from,unit_to,factor,
Cubic meter,Imp. fluid ounce,8799.08,
Cubic meter,Imperial tablespoon,17598.2,
Cubic meter,Imperial teaspoon,52794.5,
Cubic meter,Cubic foot,35.3147,
Cubic meter,Cubic inch,61023.7,
Liter,US liquid gallon,0.264172,
Liter,US liquid quart,1.05669,
Liter,US liquid pint,2.11338,
Liter,US legal cup,4.39937,
Liter,Fluid ounce,35.1951,
Liter,US tablespoon,70.3901,
Liter,US teaspoon,211.171,
Liter,Cubic meter,0.001,
Liter,Milliliter,1000,
Liter,Imperial gallon,0.219969,
Liter,Imperial quart,0.879877,
Liter,Imperial pint,1.75975,
Liter,Imperial cup,2.19969,
Liter,Imp. fluid ounce,8.79908,
Liter,Imperial tablespoon,17.5982,
Liter,Imperial teaspoon,52.7945,
Liter,Cubic foot,0.0353147,
Liter,Cubic inch,61.0237,
Milliliter,US liquid gallon,0.000264172,
Milliliter,US liquid quart,0.00105669,
Milliliter,US liquid pint,0.00211338,
Milliliter,US legal cup,0.00439937,
Milliliter,Fluid ounce,0.0351951,
Milliliter,US tablespoon,0.0703901,
Milliliter,US teaspoon,0.211171,
Milliliter,Cubic meter,1.00E-06,
Milliliter,Liter,0.001,
Milliliter,Imperial gallon,0.000219969,
Milliliter,Imperial quart,0.000879877,
Milliliter,Imperial pint,0.00175975,
Milliliter,Imperial cup,0.00219969,
Milliliter,Imp. fluid ounce,0.00879908,
Milliliter,Imperial tablespoon,0.0175982,
Milliliter,Imperial teaspoon,0.0527945,
Milliliter,Cubic foot,3.53E-05,
Milliliter,Cubic inch,0.0610237,
Imperial gallon,US liquid gallon,1.20095,
Imperial gallon,US liquid quart,4.80381,
Imperial gallon,US liquid pint,9.60762,
Imperial gallon,US legal cup,19.9726,
Imperial gallon,Fluid ounce,153.722,
Imperial gallon,US tablespoon,307.445,
Imperial gallon,US teaspoon,922.336,
Imperial gallon,Cubic meter,0.00454609,
Imperial gallon,Liter,4.54609,
Imperial gallon,Milliliter,4546.09,
Imperial gallon,Imperial quart,4,
Imperial gallon,Imperial pint,8,
Imperial gallon,Imperial cup,20,
Imperial gallon,Imp. fluid ounce,160,
Imperial gallon,Imperial tablespoon,320,
Imperial gallon,Imperial teaspoon,960,
Imperial gallon,Cubic foot,0.160544,
Imperial gallon,Cubic inch,277.419,
Imperial quart,US liquid gallon,0.300238,
Imperial quart,US liquid quart,1.20095,
Imperial quart,US liquid pint,2.4019,
Imperial quart,US legal cup,4.99315,
Imperial quart,Fluid ounce,38.4306,
Imperial quart,US tablespoon,76.8612,
Imperial quart,US teaspoon,230.583,
Imperial quart,Cubic meter,0.00113652,
Imperial quart,Liter,1.13652,
Imperial quart,Milliliter,1136.52,
Imperial quart,Imperial gallon,0.25,
Imperial quart,Imperial pint,2,
Imperial quart,Imperial cup,5,
Imperial quart,Imp. fluid ounce,40,
Imperial quart,Imperial tablespoon,80,
Imperial quart,Imperial teaspoon,240,
Imperial quart,Cubic foot,0.0401359,
Imperial quart,Cubic inch,69.3547,
Imperial pint,US liquid gallon,0.150119,
Imperial pint,US liquid quart,0.600477,
Imperial pint,US liquid pint,1.20095,
Imperial pint,US legal cup,2.49657,
Imperial pint,Fluid ounce,19.2153,
Imperial pint,US tablespoon,38.4306,
Imperial pint,US teaspoon,115.292,
Imperial pint,Cubic meter,0.000568261,
Imperial pint,Liter,0.568261,
Imperial pint,Milliliter,568.261,
Imperial pint,Imperial gallon,0.125,
Imperial pint,Imperial quart,0.5,
Imperial pint,Imperial cup,1.25,
Imperial pint,Imp. fluid ounce,10,
Imperial pint,Imperial teaspoon,Imperial tablespoon,20
Imperial pint,Imperial teaspoon,60,
Imperial pint,Cubic foot,0.0200679,
Imperial pint,Cubic inch,34.6773,
Imperial cup,US liquid gallon,0.119047,
Imperial cup,US liquid quart,0.47619,
Imperial cup,US liquid pint,0.952381,
Imperial cup,US legal cup,1.25,
Imperial cup,Fluid ounce,9.60762,
Imperial cup,US tablespoon,19.2153,
Imperial cup,US teaspoon,57.646,
Imperial cup,Cubic meter,0.000284131,
Imperial cup,Liter,0.284131,
Imperial cup,Milliliter,284.131,
Imperial cup,Imperial gallon,0.0625,
Imperial cup,Imperial quart,0.25,
Imperial cup,Imperial pint,0.5,
Imperial cup,Imp. fluid ounce,4,
Imperial cup,Imperial tablespoon,8,
Imperial cup,Imperial teaspoon,24,
Imperial cup,Cubic foot,0.0401359,
Imperial cup,Cubic inch,69.3547,
Imp. fluid ounce,US liquid gallon,0.0302397,
Imp. fluid ounce,US liquid quart,0.120958,
Imp. fluid ounce,US liquid pint,0.241916,
Imp. fluid ounce,US legal cup,0.502958,
Imp. fluid ounce,Fluid ounce,3.21507,
Imp. fluid ounce,US tablespoon,6.43015,
Imp. fluid ounce,US teaspoon,19.2905,
Imp. fluid ounce,Cubic meter,2.84E-05,
Imp. fluid ounce,Liter,0.0284131,
Imp. fluid ounce,Milliliter,28.4131,
Imp. fluid ounce,Imperial gallon,0.00625,
Imp. fluid ounce,Imperial quart,0.025,
Imp. fluid ounce,Imperial pint,0.05,
Imp. fluid ounce,Imperial cup,0.125,
Imp. fluid ounce,Imperial tablespoon,2,
Imp. fluid ounce,Imperial teaspoon,6,
Imp. fluid ounce,Cubic foot,0.00104438,
Imp. fluid ounce,Cubic inch,1.80469,
Imperial tablespoon,US liquid gallon,0.0151199,
Imperial tablespoon,US liquid quart,0.0604797,
Imperial tablespoon,US liquid pint,0.12096,
Imperial tablespoon,US legal cup,0.251479,
Imperial tablespoon,Fluid ounce,1.60753,
Imperial tablespoon,US tablespoon,3.21507,
Imperial tablespoon,US teaspoon,9.64521,
Imperial tablespoon,Cubic meter,1.42E-05,
Imperial tablespoon,Liter,0.0142066,
Imperial tablespoon,Milliliter,14.2066,
Imperial tablespoon,Imperial gallon,0.003125,
Imperial tablespoon,Imperial quart,0.0125,
Imperial tablespoon,Imperial pint,0.025,
Imperial tablespoon,Imperial cup,0.03125,
Imperial tablespoon,Imp. fluid ounce,0.125,
Imperial tablespoon,Imperial teaspoon,3,
Imperial tablespoon,Cubic foot,0.000522188,
Imperial tablespoon,Cubic inch,0.902344,
Imperial teaspoon,US liquid gallon,0.00503997,
Imperial teaspoon,US liquid quart,0.0201599,
Imperial teaspoon,US liquid pint,0.0403197,
Imperial teaspoon,US legal cup,0.0838264,
Imperial teaspoon,Fluid ounce,0.537509,
Imperial teaspoon,US tablespoon,1.07502,
Imperial teaspoon,US teaspoon,3.22506,
Imperial teaspoon,Cubic meter,4.74E-06,
Imperial teaspoon,Liter,0.00473553,
Imperial teaspoon,Milliliter,4.73553,
Imperial teaspoon,Imperial gallon,0.00104167,
Imperial teaspoon,Imperial quart,0.00416667,
Imperial teaspoon,Imperial pint,0.00833333,
Imperial teaspoon,Imperial cup,0.0104167,
Imperial teaspoon,Imp. fluid ounce,0.0416667,
Imperial teaspoon,Imperial tablespoon,0.833333,
Imperial teaspoon,Cubic foot,0.000174063,
Imperial teaspoon,Cubic inch,0.300781,
Cubic foot,US liquid gallon,7.48052,
Cubic foot,US liquid quart,29.9221,
Cubic foot,US liquid pint,59.8442,
Cubic foot,US legal cup,124.829,
Cubic foot,Fluid ounce,9576.35,
Cubic foot,US tablespoon,19152.7,
Cubic foot,US teaspoon,57458.2,
Cubic foot,Cubic meter,0.0283168,
Cubic foot,Liter,28.3168,
Cubic foot,Milliliter,28316.8,
Cubic foot,Imperial gallon,6.22884,
Cubic foot,Imperial quart,24.9154,
Cubic foot,Imperial pint,49.8309,
Cubic foot,Imperial cup,62.2884,
Cubic foot,Imp. fluid ounce,249.154,
Cubic foot,Imperial tablespoon,498.307,
Cubic foot,Imperial teaspoon,1494.92,
Cubic foot,Cubic inch,1728,
Cubic inch,US liquid gallon,0.004329,
Cubic inch,US liquid quart,0.017316,
Cubic inch,US liquid pint,0.034632,
Cubic inch,US legal cup,0.072678,
Cubic inch,Fluid ounce,55.338,
Cubic inch,US tablespoon,110.677,
Cubic inch,US teaspoon,332.031,
Cubic inch,Cubic meter,1.64E-05,
Cubic inch,Liter,0.0163871,
Cubic inch,Milliliter,16.3871,
Cubic inch,Imperial gallon,0.00360465,
Cubic inch,Imperial quart,0.0144186,
Cubic inch,Imperial pint,0.0288372,
Cubic inch,Imperial cup,0.0360465,
Cubic inch,Imp. fluid ounce,0.144186,
Cubic inch,Imperial tablespoon,0.288372,
Cubic inch,Imperial teaspoon,0.865116,
Cubic inch,Cubic foot,0.000578704,
